uid	text_value
079kvKDA8BZiySXLstBcUqpXT2T2	Well, I tried to not think about it. And I tried to do something else to take my mind off of it. I tried having a cup of coffee. I tried calling a friend. all those things helped but I still am experiencing a sense of loss. I feel like I'm grieving. Because he just doesn't want to be in our life anymore. Through no fault of our own. 
079kvKDA8BZiySXLstBcUqpXT2T2	That everyone is under difficult pressure in life. And most are willing to extend grace. But it is wisdom to be mindful of this towards others. And for ourselves as well. 
079kvKDA8BZiySXLstBcUqpXT2T2	I can’t let others bad attitude make mine the same. There are a lot of folks with negative mind sets. I want to do better. 
079kvKDA8BZiySXLstBcUqpXT2T2	That I’m feeling much more positive then last week
079kvKDA8BZiySXLstBcUqpXT2T2	Life is full of change. You need to roll with the changes 
079kvKDA8BZiySXLstBcUqpXT2T2	Yes. And I have. I do get their perspective. But I feel that it’s unforgiving for someone who claims to be a Christian to be unforgiving when we are called to always be forgiving if we want to be forgiven. There is no understanding trying to control others and micro manage their life. To not have a real respect for them. To lie regularly about important things like going to counseling , porn, hiding spending while controlling mine, cheating ( in the past I hope) , respecting me, ( he doesn’t, he may have a love for me, but I don’t believe he is in love with me like I am with him, and I know he doesn’t have real respect for me. He only sees my faults)
079kvKDA8BZiySXLstBcUqpXT2T2	I will achieve my New Year's resolutions. 
079kvKDA8BZiySXLstBcUqpXT2T2	Some affirmations, do my nails, remind myself that I am only responsible for my conduct. Others are responsible for theirs. To let go of the pain of my children’s choices and focus on some self care and protection for my own physical and mental health. To reflect on my life and sift through what mental baggage I carry, or actions i have from the past that I need to regroup on to not find myself dragged into other peoples issues. To let go of the outcome and let God handle it
079kvKDA8BZiySXLstBcUqpXT2T2	A bit sad about adult son not communicating with me
079kvKDA8BZiySXLstBcUqpXT2T2	I allow myself to be who I am without judgment
079kvKDA8BZiySXLstBcUqpXT2T2	I deserve the love I am given. 
079kvKDA8BZiySXLstBcUqpXT2T2	I will exhale my fears and breathe in confidence 
079kvKDA8BZiySXLstBcUqpXT2T2	I will take action to create the life I way
079kvKDA8BZiySXLstBcUqpXT2T2	The more I give the more I will receive
079kvKDA8BZiySXLstBcUqpXT2T2	I always deserve to be treated with love and respect
079kvKDA8BZiySXLstBcUqpXT2T2	I am good enough just as I currently am. 
079kvKDA8BZiySXLstBcUqpXT2T2	I am becoming closer to my true self everyday 
079kvKDA8BZiySXLstBcUqpXT2T2	Poorly. His way or the highway. Period. He could take my perspective into account when making decisions. My perspective should affect his decisions as they affect me too. It’s my life too. Everything from how I fill a soap dispenser to how I cook to what I buy is judged scrutinized and deemed unfit in lieu of his perspective. He devalues me. 
079kvKDA8BZiySXLstBcUqpXT2T2	For my son to be more engaged with his son so I don’t end up doing it all. I’ll just say it
079kvKDA8BZiySXLstBcUqpXT2T2	I don’t have anything I’m excited about 
079kvKDA8BZiySXLstBcUqpXT2T2	I'm looking forward to this being Friday the end of the week. I have a couple days off after this and spending time with my sweetheart. 
079kvKDA8BZiySXLstBcUqpXT2T2	Christmas shopping and spending time with my husband mostly spending time with my husband. 
079kvKDA8BZiySXLstBcUqpXT2T2	My middle son who is wise and thoughtful of me his mom
079kvKDA8BZiySXLstBcUqpXT2T2	I'm feeling grateful. I'm alive after a motorcycle accident. I am feeling grateful that we are going to be able to remodel. I am feeling grateful that I'll have a bathtub again. I'm feeling grateful. I've been feeling better health-wise. I'm feeling grateful. I have good friends. 
079kvKDA8BZiySXLstBcUqpXT2T2	Creativity. It allows me to express myself in great ways. 
079kvKDA8BZiySXLstBcUqpXT2T2	It gives me hope. I just hope it’s not false hope
079kvKDA8BZiySXLstBcUqpXT2T2	Taking grandson to school 
079kvKDA8BZiySXLstBcUqpXT2T2	Running into my son shopping. That was nice
079kvKDA8BZiySXLstBcUqpXT2T2	It make me feel used. Disrespected. I have tried to explain but he just starts a fight and says that’s why I never talk. There is no point. Etc
079kvKDA8BZiySXLstBcUqpXT2T2	I’ve done that, they all say let him go. But he is my child. I cannot. 
079kvKDA8BZiySXLstBcUqpXT2T2	I will em is everything that life throws my way
079kvKDA8BZiySXLstBcUqpXT2T2	I will make positive choices for myself
079kvKDA8BZiySXLstBcUqpXT2T2	I want to focus on the positive instead of the negative 
079kvKDA8BZiySXLstBcUqpXT2T2	I will always stand up for myself. 
079kvKDA8BZiySXLstBcUqpXT2T2	I have trust in myself to make the right decisions
079kvKDA8BZiySXLstBcUqpXT2T2	Flying there to see him. Don’t think he wants to see me. Writing him. He would throw it away. 
079kvKDA8BZiySXLstBcUqpXT2T2	I could play my guitar for awhile :)
079kvKDA8BZiySXLstBcUqpXT2T2	that would be crazy awesome 
079kvKDA8BZiySXLstBcUqpXT2T2	Dismissing my perspective and dismissing the conversation 
079kvKDA8BZiySXLstBcUqpXT2T2	In 2020, I will focus my thoughts actions and emotions to create my best year yet. 
079kvKDA8BZiySXLstBcUqpXT2T2	Keep trying. I have no other choice
079kvKDA8BZiySXLstBcUqpXT2T2	I do best with 8 hours of sleep. But typically only get 5
079kvKDA8BZiySXLstBcUqpXT2T2	Always busy. And involved. It’s just hard to not be sad when I see the son I’ve raised to be a good man, act horrible to his wife. 
079kvKDA8BZiySXLstBcUqpXT2T2	He tried calling me for months and I was often to busy to talk. But we still did talk a lot. After his dad and him had a falling out, he decided to punish me for everything and everybody else’s lack of communication. He is hurt that his dad didn’t answer his phone for him for a month. Which is the same thing he did to his dad when he was cheating and his dad tried to reach out. He left his wife and his parent to clean up his mess. Then got mad at us for not liking it. 
079kvKDA8BZiySXLstBcUqpXT2T2	It's been on and off now for months. 
079kvKDA8BZiySXLstBcUqpXT2T2	Christmas prep. Feel better 
079kvKDA8BZiySXLstBcUqpXT2T2	I’ve tried talking about it. But he won’t change. He refuses to see my point of view as having merit. I am heartbroken, and you would think that would influence him wanting to continue trying to communicate, and to keep engaging with our kids. But he views emotion as a huge weakness. So how I feel, to him is invalid. This makes me feel invalid as a person. My husband would never take my advice. He only takes his own advice. He doesn’t really need me for anything other then occasional sex. And to clean the house. I’m in love with him and he just wanted a pretty wife. He didn’t want ME. 
079kvKDA8BZiySXLstBcUqpXT2T2	Rejection, failure, sad, crying
079kvKDA8BZiySXLstBcUqpXT2T2	I got everything done. And spent time crafting towels ( flour sack towels , stenciled)
079kvKDA8BZiySXLstBcUqpXT2T2	Yes finished all my tasks 
079kvKDA8BZiySXLstBcUqpXT2T2	Yes! I got everything I planned to do finished. 
079kvKDA8BZiySXLstBcUqpXT2T2	I think some realistic Milestones would be just being able to breathe easier when I exercise being able to start at one point and be able to achieve goals of increasing that time that I can work out in the past has been hard for me to work out for extended periods. I'm hoping that I can build up to more extended periods of work out until I can get to a point where I can do a full workout. Nothing crazy. Just you know a regular for workout good, you know, 20 minutes to 40 minute workout. I would be really nice to be able to do several times a week. I was felt better when I was working out before my injury. And so I look forward to those benefits now. 
079kvKDA8BZiySXLstBcUqpXT2T2	My husband. He is a rock of strength in our family. 
079kvKDA8BZiySXLstBcUqpXT2T2	Sick but not getting worse. 
079kvKDA8BZiySXLstBcUqpXT2T2	It's quiet at home today. I appreciate that. 
079kvKDA8BZiySXLstBcUqpXT2T2	To see two of my grandchildren doing better in life. 
079kvKDA8BZiySXLstBcUqpXT2T2	I think I've struggled with anxiety my whole life. But this particular anxiety. Has been going on ever since he's left home and started making poor life choices. 
079kvKDA8BZiySXLstBcUqpXT2T2	I'm having a difficult time letting go of feeling abandoned by my oldest son. really frustrated that his life choices His poor decisions is hurting his wife over and over and over again by cheating to the point where she breaks down and calls his parents for comfort and advice. intercept always blowing up in our face I'm tired of feeling like he's blaming us for. you know not having communication between us but the truth is he stopped communicating with us, you know, his dad stopped talking to him for about 30 days and because he was hurt by him hurting his wife and maybe that wasn't the best choice. But at the same time he has a right to be hurt by what his son is done. He's disappointed and what is done is done as I am and for him to say the things that he said the last time I spoke to him saying that, you know, he regrets not paying respects to his bio dad when he passed away out of respect for his stepdad, and now calling his stepdad Robert instead of Calling him dad. I know that he's hurt but you know, he's continually made poor choices since he ran away at 16 years old and it's like Chase after him we've we've work so hard to be in this life while he's put up a nominal effort and the minute him and his dad stepdad had a falling out. It was like he didn't make any effort to try and have a relationship with me his biological mom and it's like I haven't done anything wrong. I've always been there for him and he treats me like I'm like toxic and like I've done hurtful things to him and I don't deserve this. I don't deserve to be treated like like I haven't invested in his life. My whole life has been for my children and it just like his punish me. For years and years and years and years. He's punished me and now this like the ultimate punishment that just cut me out of his life and I sent him a Christmas present and I didn't even get a thank-you. I live in a text. Thank you. I don't want to access about this. I don't want it to meet me bitter and angry and retaliatory. I I want to let it go but hurts so much and it catches me. I'm prepared sometimes like a sucker punch to the gut and makes me cry. I just feel rejected and I'm sure part of that is just like I'm already sensitive being rejected from my childhood and to have my son who I I poured everything into my whole life. I put everything in to reject me is just It hurts so much. I don't know how to get past it. I'm trying to be mindful and trying to stay grounded. I'm trying to. speak affirmations to myself But it's starting to feel like I'm always going to be rejected. Like I have to expect it from anybody and everybody and I'll just be on guard. It's no way to live. part hurt I want to feel like my son loves me. Good night. Now I don't and It's really hurting me I don't know how to get past this. I'm trying though. I'm not going to give up today. I'm going to stay busy and focus on what I can control with a focus on working on a home. And I'm getting my home up to where it needs to be since Christmas. I try not to think about it because pretty much crying everyday at this point. It's just making me miserable and those around me miserable. It's hard to remind myself that I'm a good person. But I am going to do a lot of good for a lot of people. and even though he wants to diminish that in me, that's a weakness in him, and I know that so I need to let go of his opinion of me. Stand on my own truth. Doesn't help that I feel diminished by the other men in my life my own home. Hopefully tomorrow will be better. 
079kvKDA8BZiySXLstBcUqpXT2T2	A white jacket I have. Fits me well looks good
079kvKDA8BZiySXLstBcUqpXT2T2	chocolate and raspberries 
079kvKDA8BZiySXLstBcUqpXT2T2	I try to be reasonable and hear the other persons perspective. And then try to take that perspective into account when making a decision. As it’s their life too. Not just mine. I do not get this in return at all
079kvKDA8BZiySXLstBcUqpXT2T2	Christmas shopping and errands
079kvKDA8BZiySXLstBcUqpXT2T2	I’m not as sick as I was, and the day went well overall. 
079kvKDA8BZiySXLstBcUqpXT2T2	Some days I push myself too hard other days. I don't push myself hard enough. I push myself hard enough for others. I don't always push myself hard enough for myself. 
079kvKDA8BZiySXLstBcUqpXT2T2	Christmas shopping wrapping presents spending some time with my husband. 
079kvKDA8BZiySXLstBcUqpXT2T2	Wrapping presents for Christmas. Resting. I feel a bit sick. 
079kvKDA8BZiySXLstBcUqpXT2T2	well, I have an injury a few years back that's sidelined me and I wasn't able to work out physically or do much to improve my health, but I'm on the other side of the injury now and healed and so I think now I think the only reason I haven't like really fulfilled my resolutions from the past now is that I'm just starting to feel better, but it's still a struggle though because I don't have the energy Reserve that I used to. 
079kvKDA8BZiySXLstBcUqpXT2T2	We used to be very close. And now because of some bad choices on my son's part. He has decided to pull himself away from his family. And he blames us for his choices. At least some of them. It's unfair. And I miss having a relationship with my son. 
079kvKDA8BZiySXLstBcUqpXT2T2	I had made me lose some respect for my partner. And a lack of respect takes my romantic feelings away. 
079kvKDA8BZiySXLstBcUqpXT2T2	As hard as this is. It’s been helpful to dump how I’ve been feeling for awhile. I’d like to add that I think the misogyny in our household has been reflected in our boys. He has not always been a good example. At times he has been great. Other times self serving. He told me once , that he was only concerned for his own happiness. That he does what he does for his happiness. Mine wasn’t important. He also said once that he went to counseling and they said I was crazy. Which no counselor would do. He has said again he went to counseling more recently and I truly truly believe he laid and didn’t go. He in the past has cheated for years and years. Then tried to play it off like I did. I have never cheated on him. I’ve been a good wife. I don’t think I have ever been really loved by anyone 
079kvKDA8BZiySXLstBcUqpXT2T2	That I can rely on my own counsel. And that I am stronger then I credit myself with being
079kvKDA8BZiySXLstBcUqpXT2T2	That I’m able to be a part of my grandsons life 
079kvKDA8BZiySXLstBcUqpXT2T2	Being physically tired, but I pushed through so I’m feeling grateful
079kvKDA8BZiySXLstBcUqpXT2T2	I’m scared to lose what little relationship I have with my son. 
079kvKDA8BZiySXLstBcUqpXT2T2	Nothing is missing except his ability to be responsible for his actions and how they hurt others. Affect others. He is being prideful, and not being mindful. 
079kvKDA8BZiySXLstBcUqpXT2T2	for free time to explore the things I enjoy I feel compelled to experience it because I have done for others my whole life and I'm in a position now where I'm still doing for somebody out of. I'm having a crisis. so my things I've longed to do have had to take a back seat. 
079kvKDA8BZiySXLstBcUqpXT2T2	Some days better than others. 
079kvKDA8BZiySXLstBcUqpXT2T2	Just having Better Health overall physical mental spiritual all of it. I think all of that is connected to our health internally. 
079kvKDA8BZiySXLstBcUqpXT2T2	I need to get the house back in order after Christmas. I need you. plan dinner I need to rearrange and reorganize stuff to make room for the presents. We received a Christmas. 
079kvKDA8BZiySXLstBcUqpXT2T2	Stay focused on the daily routine I need to accomplish. And also to focus on positive attitude 
079kvKDA8BZiySXLstBcUqpXT2T2	Christmas Eve dinner. Wrapping the last of the presents. Visiting family 
079kvKDA8BZiySXLstBcUqpXT2T2	Drive up to Seattle and back. 
079kvKDA8BZiySXLstBcUqpXT2T2	The day I was first molested as a child
079kvKDA8BZiySXLstBcUqpXT2T2	I am going to schedule them into my calendar just like an appointment. And also doing things like making time for myself daily and being mindful when I go grocery shopping and I'm buying things that are not going to tempt me and contribute to poor health. 
079kvKDA8BZiySXLstBcUqpXT2T2	He would call his dad and apologize and apologize to me for his dumping all his pain on me. That he would tell me I am always his mom and he will always love me
079kvKDA8BZiySXLstBcUqpXT2T2	My body is full of energy 
079kvKDA8BZiySXLstBcUqpXT2T2	I am making healthier deco every day
079kvKDA8BZiySXLstBcUqpXT2T2	Whenever I look in the mirror I will allow myself to see something positive because I am unique and stunning
079kvKDA8BZiySXLstBcUqpXT2T2	My appearance will never determine my self worth 
079kvKDA8BZiySXLstBcUqpXT2T2	I will treat my body with the love. It deserves. 
079kvKDA8BZiySXLstBcUqpXT2T2	When it needs it my body deserve some rest and relaxation
079kvKDA8BZiySXLstBcUqpXT2T2	It would be the greatest heartbreak of my life
079kvKDA8BZiySXLstBcUqpXT2T2	If it would be wise to contact my son who is pushing me out of their life. 
079kvKDA8BZiySXLstBcUqpXT2T2	His wife. She is not vested in anyone but herself. And she has damaged the family bond in order to win back my son who has cheated on her with over 80 women. This hurts the family to know who badly he is treating women. But she proverbially threw me under the bus. 
079kvKDA8BZiySXLstBcUqpXT2T2	That I will never see or hear from my son or Grandaughter again. Heartbreaking 
079kvKDA8BZiySXLstBcUqpXT2T2	Continue to stay connected as much as you can. Without hurting yourself emotionally. Set healthy boundaries. Know yourself. Don’t allow someone who has shown to make bad life choices , tell you who you are. Give it time, but stay engaged. If the chance to talk to them happens, don’t sell myself short, hold them kindly accountable for their actions. Remember a relationship requires both parties to engage Their lack of communication is a weakness on their part, not my own. 
079kvKDA8BZiySXLstBcUqpXT2T2	I'm a little stressed out about my son who is not living at home and stop talking to me and his father. He seems like he doesn't want a relationship with us anymore. at Hertz 
079kvKDA8BZiySXLstBcUqpXT2T2	My son Dustin and my husband my son my youngest son because he also wants to do the same thing. And so we can do it together and my husband because he also wants to lose weight and he does a lot of cooking in our household. So I want him to be supportive because you know, he's part of the equation with the food and also because it's good for him. 
079kvKDA8BZiySXLstBcUqpXT2T2	Not me, his son. My grandson. They live here, and My son ignores his responsibilities to his child, with a expectation I will fill in and do it for him. 
079kvKDA8BZiySXLstBcUqpXT2T2	He is choosing to be not accountable for his actions that hurt others and reflect poorly on his family. It’s sad to see him not be faithful to his wife
079kvKDA8BZiySXLstBcUqpXT2T2	Traveling to Venice on a vacation 
079kvKDA8BZiySXLstBcUqpXT2T2	Baking cookies with my grandson
079kvKDA8BZiySXLstBcUqpXT2T2	In 33 years every attempt to do this has been met with being punished for months with emotional neglect. He has never been compassionate or said I’m sorry that I can remember. I’ve thrown away 33 years being head over heels in love with a misogynist. Now I’m old and broken in body and spirit. My fight is gone. I’m trying to fire up my desire to ignite this relationship with some passion. But with the respect from him not there and the indifference to me and being aware that this is my life too I don’t know. I’ve lost my way
079kvKDA8BZiySXLstBcUqpXT2T2	It would be awesome to live forever. I believe in God so I do believe in eternal salvation through belief in Jesus. But that eternity is in heaven. Not here on earth. I think living forever on earth would be a mixture of things good and bad. I hope humans will work on improving how they behave and treat each other. 
079kvKDA8BZiySXLstBcUqpXT2T2	Nothing. Nothing can stop me from achieving the success I desire. 
079kvKDA8BZiySXLstBcUqpXT2T2	music the people I love positive affirmations 
079kvKDA8BZiySXLstBcUqpXT2T2	That would be sad. I love color
079kvKDA8BZiySXLstBcUqpXT2T2	Yes. a sense of loss having grief over lost relationships having grief over childhood stuff that I can't change 
079kvKDA8BZiySXLstBcUqpXT2T2	Yes I would and have. I’ve done so in a way that show them my reasoning and why I feel the way I do. But my opinions are dismissed out of hand. Like I’m a dumb blonde. I deeply love my husband. He can be generous and kind towards me. But he really doesn’t know me at all
079kvKDA8BZiySXLstBcUqpXT2T2	By forcing his hand I could force him to verbally say and establish his desire to never see me, his mom, again. 
079kvKDA8BZiySXLstBcUqpXT2T2	That he has been unkind to me. And I deserve to be honored by my son for all the good and help I have given to him and his family over the years
079kvKDA8BZiySXLstBcUqpXT2T2	Everything went according to my schedule, no problems 
079kvKDA8BZiySXLstBcUqpXT2T2	Everything was peaceful and pleasant 
079kvKDA8BZiySXLstBcUqpXT2T2	That if I try, he still won’t care to respond. That he in reality doesn’t respect me at all That for some reason he is blaming me for something that I don’t know. That he is trying to force his dad to apologize for his own actions before contacting me, so he is hurting me in the hope of make his dad apologize first. That there is a part of me that thinks maybe I have failed him 
079kvKDA8BZiySXLstBcUqpXT2T2	I could ask his brothers to check on his feeling about talking with me and see what he says. But he isn’t talking to them either at the moment. 
079kvKDA8BZiySXLstBcUqpXT2T2	I was thinking about my son and him not wanting to talk to us anymore. He's an adult and he doesn't live at home anymore. 
079kvKDA8BZiySXLstBcUqpXT2T2	I will meet my goals. Always do. Just not with him in my life. 
086csBx8dLghyCVE92CBiRFUK693	Set back and look at the reason and understand that I sometimes have to wait
086csBx8dLghyCVE92CBiRFUK693	Steven Furtick because he has lead me Eminem because his music has given me a passion Nf because he is normal
086csBx8dLghyCVE92CBiRFUK693	The happiness of a home with a husband who worships his wife and the kids who smile bc everyone is in the order in which we were all created for 
086csBx8dLghyCVE92CBiRFUK693	Then we would have heaven on the earth 
086csBx8dLghyCVE92CBiRFUK693	How I wish I had a building to have kids and music and I could create an atmosphere instead of being scared to leave bc I might be kicked out or get accused falsely when I get back 
086csBx8dLghyCVE92CBiRFUK693	I do but I can’t control my spouse therefor if my yard looks bad it’s because I’m busy making sure my kids get a proper education 
086csBx8dLghyCVE92CBiRFUK693	Definitely night because I hate getting up early, everyone else does it that way and it’s boring to me
086csBx8dLghyCVE92CBiRFUK693	To open an academy and instruct children through dancing because I believe the next generation is important but I don’t want to teach according to normal education but rather learning how to mold the gift of the child
086csBx8dLghyCVE92CBiRFUK693	Tell when your health decline. 
086csBx8dLghyCVE92CBiRFUK693	Not to judge based on what I was told rather learn myself and come to my own conclusion 
086csBx8dLghyCVE92CBiRFUK693	Yes other than my husband bc he’s nicer to my child and I do not have a voice in my own home
08OjhnG4QjPwpyPEMHLK4hBiwNx2	not going that well because my parents just got on me car mad at me for like No reason, this is dumbest reason to be honest, but the kind of right at some point, but still they come mad over the dumbest reason. 
08OjhnG4QjPwpyPEMHLK4hBiwNx2	I stay up too late. Overthinking being on my phone too much. and pressure 
08OjhnG4QjPwpyPEMHLK4hBiwNx2	I was feeling sad. pressured happy I'm blessed. 
08OjhnG4QjPwpyPEMHLK4hBiwNx2	I What's it called home? I went straight to my homework didn't worry about anything else and make sure that I got all of it done. 
08OjhnG4QjPwpyPEMHLK4hBiwNx2	It was raining today. but it was actually like the rain actually kind of called columns me. I don't know why but yeah. 
08OjhnG4QjPwpyPEMHLK4hBiwNx2	It's been okay. Not the best to be honest. 
08OjhnG4QjPwpyPEMHLK4hBiwNx2	Yes, I really should I have to True right? It have better attitude definitely focus on my friends specially my grades, you know. 
08OjhnG4QjPwpyPEMHLK4hBiwNx2	it was like it was raining during ta. Wake up raining, but then it stopped. 
08OjhnG4QjPwpyPEMHLK4hBiwNx2	tent don't really like pay attention. To the little things like if you really care about this one person then I'll show you the same energy back just don't. Don't you know it's a waste of time and specially like you catch you just track down many things and it's not really good and just focus on the main things in my life right now, like chemicals in school and everything friends or family tree have positive attitude. Just be happy for the things that actually matter in your life and not the little things. So yeah, what's a little things matter too, but like people and things that actually care about you. and Pay attention to you focus on that don't focus on the things that don't. 
0BH8RwZUHpbqgdyJXp9eHfLBJjK2	found it on the app store 
0DXTnP0AHcg6pPe5dbJebvg9pJt2	My mom seen my apartment. 
0DXTnP0AHcg6pPe5dbJebvg9pJt2	Managing my mental health 🧠
0DXTnP0AHcg6pPe5dbJebvg9pJt2	I think she's going to really like it. 
0GqnvsHAZzYEUk5Bh0u1XHPKhev1	I have a ortho at 11:40 then i might hang out with friends later in the day but not sure yet
0QD7tZsYlehDMwafH1pcEVtnM552	Because I had beat him at a game and was poking fun at him because he lost.
0QD7tZsYlehDMwafH1pcEVtnM552	Some people over eat because they’re bored, or emotional. It really depends on the mental state someone is in. I usually don’t eat enough in day.
0QD7tZsYlehDMwafH1pcEVtnM552	Today I attended one school, but I had 4 different classes and then extracurriculars.
0QD7tZsYlehDMwafH1pcEVtnM552	Nobody asks for my number. 
0QD7tZsYlehDMwafH1pcEVtnM552	Today was pretty good in terms of my classes. I’m still stressed about where me and my roommates are going to live next year, but hopefully it will be resolved soon.
0QD7tZsYlehDMwafH1pcEVtnM552	My friend Victoria realized the way she was thinking about her eating habits was extremely unhealthy and that she needed to start getting that in order. It made me happy that I could help her realize that.
0QD7tZsYlehDMwafH1pcEVtnM552	I would introduce myself by hopefully making them smile or laugh. I try to make a good impression whenever possible when I meet new people.
0QD7tZsYlehDMwafH1pcEVtnM552	Anxiety, bouts of depression, and overthinking.
0QD7tZsYlehDMwafH1pcEVtnM552	Looking at a potential apartment
0QD7tZsYlehDMwafH1pcEVtnM552	Beating Carl in Word Hunt by 100 points and just joking around with him a little about it. It just made me smile in the middle of the day when I was really tired.
0QD7tZsYlehDMwafH1pcEVtnM552	Today was just okay. Classes were fine, but the stress of figuring out my living situation took a toll later on and I’ve developed a headache because of it
0QD7tZsYlehDMwafH1pcEVtnM552	I’m looking forward to this summer and being able to spend time with my friends and maybe go on a road trip with them to Florida.
0QD7tZsYlehDMwafH1pcEVtnM552	I feel like I did get a lot done today. I worked really hard in all my classes and started working on multiple homeworks. I went to all my meetings and talked with my future roommates about potential living situations.
0QD7tZsYlehDMwafH1pcEVtnM552	That I’m a student. I’m tired constantly and need some extra support.
0QD7tZsYlehDMwafH1pcEVtnM552	Making jokes with the people in the Soccomm office, particularly Andrew and his “that’s what she said” jokes were quite on point today.
0QD7tZsYlehDMwafH1pcEVtnM552	Today I’m going to look at an apartment with Abby. After that I have the rest of the day to do homework with an office hour at four.
0QD7tZsYlehDMwafH1pcEVtnM552	I think it was just his way of contributing and trying to make everyone laugh. 
0QD7tZsYlehDMwafH1pcEVtnM552	Just being able to be with them for a long period of time. We’ve never really been able to hang out like that before. I’ve also never really been on a road trip without my family so I think that could be interesting. 
0VQkcoL46aPvkz4qFXtJgQLpNxr1	I am in the process of moving and I’m annoyed and sometimes I over react and make things hard on my boyfriend 
0VzmdP8NPmM5V7fmdSy4xMHgBTr2	It was the first thing that popped up when looking for a diary in the App Store 
0ZByPUqSdob4TWkA0vUC2Fgdxqv2	First I got yelled at my mom cause I was trying to watch a video while she was listening to a audiobook, but that part got better. Then I had a fine day at school until math cause we were doing something I wanted to do but I got called from my reading teacher so I didn’t get to do the thing I wanted in math. Then I get home (aka my cousin’s house cause my mom picks me up from there) and me and my cousins 2 boys (5 yr old Denver and 12 yr old Doug) and 1 girl (11 yr old Alia) then we played Hide & Seek and Alia was the seeker and she found Doug and Denver and she went to find me but she spilled the dogs food so she was cleaning it up and Denver went to the bathroom (not to get into to much detail) and when he came back he said “Hi Doug hi Jahslyn then started walking to where I was hiding and then I stud up and (FYI I have a loud voice so my voice seems really loud sometimes) started telling him that he’s not supposed to say where I’m hiding. Then he ran off into his room crying and saying things that weren’t true. But now he’s fine but she’s being annoying and like being all “mean” around me but it’s not even affecting me 
0ZByPUqSdob4TWkA0vUC2Fgdxqv2	Wait are you the new friend or are we talking about Alia 
0ZByPUqSdob4TWkA0vUC2Fgdxqv2	Mindful daily journaling 📓
0ZByPUqSdob4TWkA0vUC2Fgdxqv2	More than 1 thing •I have anxiety •I have anger management issues •I need someone to tell all my weird dreams/Strange things I think about •I just need someone to tell my day about after school 
0ZByPUqSdob4TWkA0vUC2Fgdxqv2	Everything, my day started off terrible then I thought it got kinda better but now it’s back to being terrible 
0ZByPUqSdob4TWkA0vUC2Fgdxqv2	I don’t really have “favorite journaling topics” But I’d like to talk about how my day was after school 
